Stock,Positive Count,Negative Count,Sentiment Difference
data/TravelersCo-3.txt,38,6,32
data/CiscoSystems-10.txt,64,46,18
data/3MCo-10.txt,70,54,16
data/Chevron-10.txt,36,20,16
data/JPMorganChase-10.txt,74,60,14
data/AmgenFiles10.txt,15,4,11
data/CaterpillarFiles-10.txt,15,5,10
data/ProcterGamble-10.txt,44,46,-2
data/Walmart-10.txt,33,36,-3
data/Nvidia-10.txt,44,50,-6
data/Verizon-10.txt,80,90,-10
data/Honeywell-10.txt,11,22,-11
data/CocaCola-10.txt,36,48,-12
data/SherwinWilliams-6.txt,24,39,-15
data/McDonalds-2.txt,5,21,-16
data/MerckCo-10.txt,40,58,-18
data/HomeDepot-10.txt,77,95,-18
data/WaltDisney-10.txt,71,91,-20
data/AppleFiles-10.txt,11,33,-22
data/Visa-10.txt,14,36,-22
data/AmericanExpressFiles-10.txt,87,116,-29
data/IBM-10.txt,50,80,-30
data/AmazonFiles-10.txt,37,71,-34
data/Salesforce-10.txt,48,100,-52
data/BoeingFiles-10.txt,19,85,-66
data/GoldmanSachs-10.txt,32,101,-69
data/Microsoft-10.txt,41,111,-70
data/UnitedHealth-10.txt,29,173,-144
data/JohnsonJohnson-10.txt,51,203,-152
data/Nike-10.txt,31,224,-193
